accession	length	genome_region	host	country	isolation	collection_date	release_date	name
KJ156928	390	M	Homo sapiens	Saudi Arabia		2013/06/22	2014/02/06	Middle East respiratory syndrome coronavirus M protein gene, partial cds
KJ156892	449		Homo sapiens	Saudi Arabia		2013/05/01	2014/02/06	Middle East respiratory syndrome coronavirus M protein-like gene, partial sequence
KJ156933	1633	orf4a-orf4b-orf5	Homo sapiens	Saudi Arabia		2013/08/19	2014/02/06	Middle East respiratory syndrome coronavirus ORF4a and ORF4b genes, complete cds; and ORF5 gene, partial cds
KJ156915	2188	orf4a-orf4b-orf5-E	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus ORF4a, ORF4b, ORF5, and E protein genes, complete cds
KJ156927	4159	orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds
KJ156923	1965	orf4b-orf5-E-M	Homo sapiens	Saudi Arabia		2013/05/13	2014/02/06	Middle East respiratory syndrome coronavirus ORF4b, ORF5, and E protein genes, complete cds; and M protein gene, partial cds
KP966104	4062	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2014/05	2015/07/02	Middle East respiratory syndrome coronavirus isolate Al-Ahsa KSA_Camel_C23 spike protein gene, complete cds
KP405226	4062	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2015/07/06	Middle East respiratory syndrome coronavirus isolate Al-Ahsa KSA_Camel_C7 spike protein gene, complete cds
KP405225	4062	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/12	2015/07/06	Middle East respiratory syndrome coronavirus isolate Al-Ahsa KSA_Camel_C8 spike protein gene, complete cds
KP405227	4062	S	Camelus dromedarius	Saudi Arabia	lung	2013/12	2015/07/06	Middle East respiratory syndrome coronavirus isolate Al-Ahsa KSA_Camel_C9 spike protein gene, complete cds
KF600653	1195	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/02	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_10a_2013, partial genome
KF600642	4174	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/05/02	2013/09/17	Middle East respiratory syndrome coronavirus isolate Al-Hasa_10b_2013, partial genome
